Time,AE Data,EC Data,Mech Data,Output
430.5024776,29623.8209,1.44E-06,0.090459737,0
431.5059226,31519.07738,1.44E-06,0.089492864,0
432.5073653,30534.91018,1.44E-06,0.089998269,0
433.5057485,28986.31737,1.43E-06,0.09080676,0
434.5054627,28192.92537,1.43E-06,0.092183061,0
435.5078571,27622.02381,1.43E-06,0.091900244,0
436.5066265,29335.81325,1.43E-06,0.090592285,0
437.5052976,29889.52381,1.43E-06,0.089642929,0
438.5067964,30878.59281,1.42E-06,0.089563055,0
439.5067164,29019.52239,1.42E-06,0.091086531,0
440.5065868,28504.1018,1.42E-06,0.092356973,0
441.5044012,27368.59281,1.42E-06,0.091775016,0
442.5054167,29495.98214,1.42E-06,0.090775853,0
443.504488,30469.6988,1.41E-06,0.089491944,0
444.5029464,31182.23214,1.41E-06,0.090015706,0
445.506756,29239.7619,1.40E-06,0.091121988,0
446.5067267,28304.2042,1.41E-06,0.091998589,0
447.5056119,27350.50746,1.41E-06,0.091805862,0
448.5040841,29249.75976,1.41E-06,0.090524947,0
449.5055786,30512.67062,1.40E-06,0.089594938,0
450.5073874,31062.64264,1.40E-06,0.090166504,0
451.5053731,29192.95522,1.39E-06,0.090850962,0
452.5047605,28291.43713,1.39E-06,0.092381322,0
453.5051045,27278.0597,1.39E-06,0.091344255,0
454.5039339,29438.94895,1.39E-06,0.090857991,0
455.503244,30370.11905,1.39E-06,0.089665483,0
456.506,31585.13433,1.38E-06,0.089679806,0
457.5057186,29116.16766,1.38E-06,0.091220547,0
458.5055224,28716.23881,1.38E-06,0.092310771,0
459.5054192,27548.89222,1.38E-06,0.091493002,0
460.5053134,29901.25373,1.38E-06,0.0906861,0
461.505509,30410.23952,1.37E-06,0.089396003,0
462.5050746,31444.0597,1.37E-06,0.090023125,0
463.5075,29170.11905,1.37E-06,0.091233003,0
464.5078078,28428.16817,1.37E-06,0.091921705,0
465.5065672,27949.67164,1.37E-06,0.091920086,0
466.5032229,29600.99398,1.37E-06,0.090551822,0
467.5018452,31190.77381,1.36E-06,0.089745303,0
468.5063393,31275.71429,1.36E-06,0.090000466,0
469.5054955,29061.26126,1.36E-06,0.091079525,0
470.505,29031.84524,1.36E-06,0.092198831,0
471.5054655,27644.35435,1.35E-06,0.091602337,0
472.5052083,29300.3869,1.35E-06,0.090736876,0
473.5048348,30645.10511,1.35E-06,0.08988357,0
474.5049702,31638.66071,1.35E-06,0.089579676,0
475.5061078,29175.86826,1.35E-06,0.091391927,0
476.5055821,28613.8209,1.34E-06,0.092199604,0
477.5051796,28194.94012,1.34E-06,0.091542998,0
478.505403,29725.8806,1.33E-06,0.090653264,0
479.5053892,30969.88024,1.34E-06,0.089466236,0
480.5050448,31185.61194,1.34E-06,0.089995648,0
481.5065373,28894.59701,1.33E-06,0.091181658,0
482.506497,28786.76647,1.33E-06,0.091826311,0
483.5045509,27808.62275,1.33E-06,0.091977852,0
484.5046567,29468.23881,1.33E-06,0.090339759,0
485.505,31122.60479,1.32E-06,0.089730106,0
486.5060417,31496.60714,1.32E-06,0.089981426,0
487.5058258,29283.06306,1.32E-06,0.091031441,0
488.505625,28406.4881,1.32E-06,0.091990785,0
489.5052853,27837.23724,1.32E-06,0.091626795,0
490.5039701,29160.89552,1.31E-06,0.090783348,0
491.506875,30847.58929,1.32E-06,0.089703995,0
492.5068769,31428.40841,1.31E-06,0.089740005,0
493.5052836,28865.13433,1.32E-06,0.09138734,0
494.5061194,28075.61194,1.31E-06,0.092218917,0
495.5049249,28797.05706,1.31E-06,0.091654148,0
496.5034925,29529.40299,1.31E-06,0.090745405,0
497.5034731,31103.29341,1.30E-06,0.089468545,0
498.5046131,31448.95833,1.31E-06,0.089909782,0
499.5064671,28967.54491,1.30E-06,0.091268848,0
500.5069851,28555.61194,1.30E-06,0.091783169,0
501.5047748,28583.27327,1.30E-06,0.091945222,0
502.5032537,29482.14925,1.30E-06,0.09033084,0
503.5049851,30784.14925,1.29E-06,0.089782989,0
504.5058806,31544,1.29E-06,0.090080993,0
505.5043844,28653.45345,1.29E-06,0.091139187,0
506.505,28627.2619,1.29E-06,0.092082867,0
507.5058683,29089.31138,1.29E-06,0.091538778,0
508.5054627,29698.65672,1.29E-06,0.090683186,0
509.5053892,30964.67066,1.29E-06,0.089854845,0
510.5055224,31589.31343,1.28E-06,0.089714008,0
511.5057485,28654.22156,1.28E-06,0.091414977,0
512.5057313,28927.8209,1.28E-06,0.091834382,0
513.5041742,28133.24324,1.28E-06,0.091992402,0
514.5051929,29559.82196,1.28E-06,0.090496371,0
515.5062162,31247.17718,1.28E-06,0.089492818,0
516.5068452,31198.18452,1.27E-06,0.089971278,0
517.5073874,29246.90691,1.27E-06,0.091119324,0
518.5051642,28536.08955,1.27E-06,0.092141989,0
519.5064179,28927.22388,1.27E-06,0.091777738,0
520.505045,29238.1982,1.26E-06,0.090319223,0
521.504881,30956.07143,1.26E-06,0.089676707,0
522.5056287,31371.67665,1.26E-06,0.089757269,0
523.5066567,28589.16418,1.26E-06,0.091225031,0
524.5076418,28625.85075,1.26E-06,0.092104298,0
525.5055856,28820.51051,1.26E-06,0.091513912,0
526.5056845,29365.02976,1.26E-06,0.090559847,0
527.5055856,30731.17117,1.25E-06,0.089301892,0
528.5060119,31766.19048,1.25E-06,0.089982322,0
529.5069162,28956.88623,1.25E-06,0.091325409,0
530.5074627,28817.70149,1.25E-06,0.09157522,0
531.5067665,28685.83832,1.25E-06,0.091811197,0
532.5047006,29164.28144,1.24E-06,0.090257377,0
533.5055522,31092.89552,1.25E-06,0.089702392,0
534.5072537,31266.53731,1.24E-06,0.089906384,0
535.5067964,29248.89222,1.24E-06,0.090985246,0
536.5034535,28160.96096,1.24E-06,0.092325916,0
537.5038393,29136.54762,1.24E-06,0.091556619,0
538.5050299,29597.54491,1.24E-06,0.090194611,0
539.5047463,31212.08955,1.24E-06,0.089671965,0
540.5066567,31595.8806,1.24E-06,0.089694587,0
541.5063772,29119.5509,1.23E-06,0.097728447,0
542.5058806,28469.10448,1.23E-06,0.100768027,0
543.5038438,28860.42042,1.23E-06,0.099350302,0
544.4865839,29459.06832,1.21E-06,0.097765846,0
545.5046269,28411.26866,1.11E-06,0.092323908,0
546.5043657,28431.19403,1.11E-06,0.093835596,0
547.5041418,26354.81343,1.11E-06,0.094931622,0
548.5039179,26242.35075,1.11E-06,0.094825481,0
549.5062825,25781.56134,1.10E-06,0.094444126,0
550.505,26598.49624,1.10E-06,0.093053628,0
551.5035316,27911.52416,1.10E-06,0.092818023,0
552.5054851,28270,1.10E-06,0.093755754,0
553.5051119,26441.08209,1.10E-06,0.094389858,0
554.505,26299.29104,1.10E-06,0.095440658,0
555.5058955,25802.27612,1.09E-06,0.093918045,0
556.5061567,26776.60448,1.09E-06,0.09350508,0
557.5042697,28192.99625,1.09E-06,0.092445242,0
558.5042751,28288.10409,1.09E-06,0.093750258,0
559.5062687,26197.61194,1.08E-06,0.09495446,0
560.5041199,26009.13858,1.08E-06,0.095078381,0
561.504684,26031.97026,1.08E-06,0.094509876,0
562.5052434,26371.49813,1.08E-06,0.093544651,0
563.5052788,28286.95167,1.07E-06,0.092309088,0
564.5052434,28137.64045,1.07E-06,0.093933803,0
565.5056134,26047.65799,1.07E-06,0.094290052,0
566.5065543,26112.80899,1.07E-06,0.09554614,0
567.5060223,26101.59851,1.07E-06,0.094452412,0
568.5054682,26709.47566,1.07E-06,0.093039168,0
569.5060595,27985.39033,1.07E-06,0.092717875,0
570.5060674,28373.07116,1.07E-06,0.093389784,0
571.5047761,26334.06716,1.07E-06,0.094935803,0
572.5054478,25748.35821,1.07E-06,0.095420878,0
573.5048134,25703.20896,1.06E-06,0.093886486,0
574.5042537,26375.85821,1.07E-06,0.093442007,0
575.5058736,27845.31599,1.07E-06,0.092803332,0
576.5065169,27641.61049,1.06E-06,0.093296467,0
577.5072862,26485.72491,1.06E-06,0.094744301,0
578.504812,25736.69173,1.06E-06,0.095094891,0
579.5048519,26235,1.06E-06,0.09416091,0
580.506779,26393.07116,1.06E-06,0.093398989,0
581.5042537,28475.70896,1.06E-06,0.092276299,0
582.5071375,27802.11896,1.06E-06,0.09349832,0
583.5078277,27012.24719,1.05E-06,0.094489148,0
584.5054851,25580.78358,1.05E-06,0.095774051,0
585.5050373,25915.97015,1.05E-06,0.09475045,0
586.5054478,26214.14179,1.05E-06,0.09305561,0
587.5059701,28013.24627,1.05E-06,0.09302522,0
588.5060448,28020.03731,1.05E-06,0.093496853,0
589.5060821,26545.14925,1.04E-06,0.095090586,0
590.506194,25598.58209,1.04E-06,0.095587709,0
591.5057463,26627.76119,1.04E-06,0.094114098,0
592.5051119,26114.77612,1.04E-06,0.093452886,0
593.5060075,28163.09701,1.04E-06,0.092554577,0
594.5043446,27868.38951,1.04E-06,0.094038852,0
595.5058519,26329.81481,1.04E-06,0.094803748,0
596.5073408,26185.01873,1.04E-06,0.095118135,0
597.5056343,26247.27612,1.03E-06,0.094568063,0
598.5042322,26256.66667,1.04E-06,0.093067145,0
599.5036803,28305.83643,1.03E-06,0.092770368,0
600.5058209,27940.22388,1.03E-06,0.09394902,0
601.5059328,26362.94776,1.03E-06,0.094408829,0
602.5052612,25814.92537,1.03E-06,0.095419888,0
603.5037828,26304.38202,1.02E-06,0.094031,0
604.5026866,26190.70896,1.03E-06,0.093395208,0
605.5057407,28215.81481,1.02E-06,0.092695806,0
606.5060902,28396.20301,1.02E-06,0.093536507,0
607.5064815,26862.74074,1.02E-06,0.094666845,0
608.508015,26135.58052,1.02E-06,0.095526917,0
609.5043446,26219.21348,1.02E-06,0.09413596,0
610.5043123,26458.69888,1.02E-06,0.093288664,0
611.506306,27976.86567,1.01E-06,0.092276254,0
612.5060075,28345.29851,1.02E-06,0.093919124,0
613.5061194,26393.35821,1.01E-06,0.094975814,0
614.5066045,25976.56716,1.01E-06,0.094837889,0
615.5067537,25763.39552,1.01E-06,0.094460394,0
616.5043446,26087.71536,1.01E-06,0.093003068,0
617.5058519,27928.59259,1.01E-06,0.092671575,0
618.5079775,28250.52434,1.01E-06,0.093931005,0
619.506306,26932.46269,1.01E-06,0.094408425,0
620.5062313,26142.64925,1.00E-06,0.095325886,0
621.506194,26416.90299,1.00E-06,0.09393832,0
622.504382,26391.1985,1.00E-06,0.093452507,0
623.5057407,28141.22222,1.00E-06,0.092701785,0
624.5059023,28023.90977,1.00E-06,0.093530075,0
625.504684,26718.81041,1.00E-06,0.094817441,0
626.5026692,25648.60902,9.97E-07,0.095102908,0
627.502,25940.48148,9.92E-07,0.094150692,0
628.5057836,26359.73881,9.93E-07,0.093374978,0
629.505709,28627.16418,9.86E-07,0.092250629,0
630.5055597,28364.29104,9.91E-07,0.093822424,0
631.5042697,26948.01498,9.90E-07,0.094460945,0
632.504461,25920.33457,9.92E-07,0.095141981,0
633.5072491,26222.49071,9.92E-07,0.094330676,0
634.5053383,26197.14286,9.91E-07,0.092955748,0
635.5052593,28543.66667,9.90E-07,0.092593797,0
636.5060526,28027.10526,9.89E-07,0.093406106,0
637.5039405,26504.05204,9.90E-07,0.094735656,0
638.5057463,25946.52985,9.85E-07,0.095204505,0
639.5054104,26373.43284,9.85E-07,0.093810825,0
640.5050373,26418.3209,9.89E-07,0.093298058,0
